,0
골목,4440
상권,4122
사업,3144
상공인,3044
지원,2926
지역,2523
위하,2337
카카오,2329
시장,2307
플랫폼,1816
코로나,1713
경제,1448
기업,1244
대하,1150
통하,1119
서비스,1094
상생,1035
서울,1002
활성화,998
뉴스,946
정부,940
기자,934
말하,928
온라인,879
밝히,874
배달,870
운영,853
정책,839
소비,839
추진,837
매출,797
지나,796
자영업자,772
제공,758
따르,754
대상,735
카드,734
상인,721
올해,719
계획,687
상품권,665
마트,638
확대,637
업체,634
대표,626
거리,602
내년,592
강화,590
전통,589
만원,579
결제,566
만들,563
국민,563
논란,562
규제,553
수수료,553
조성,547
도시,546
성장,537
가게,534
지급,529
식당,523
네이버,512
한국,508
후보,506
마련,501
사회적,499
선정,498
사랑,497
중소,495
상황,488
침해,488
의장,488
보상,486
최근,481
규모,481
대리,481
센터,480
발행,475
업계,473
회복,469
관련,459
방역,458
참여,457
지난해,456
판매,454
예정,451
다양,451
화폐,448
방안,448
위원회,447
금지,444
사진,444
문제,443
지원금,435
업종,433
기존,430
필요,429
시민,427
개선,425
발표,422
택시,421
방식,418
도입,417
산업,416
주민,414
스마트,414
대기업,411
진출,409
사용,408
점포,397
중개,395
운전,393
전국,392
유통,391
금융,391
디지털,391
가능,391
빌리티,391
중심,389
나오,378
손실,378
철수,376
소비자,368
방문,367
환경,366
구축,365
혁신,364
확장,361
위기,359
사회,358
조원,356
기술,355
국회,354
이용,352
경기도,352
예산,350
대형,347
의원,345
지정,343
진행,339
경우,334
문화,334
단체,331
살리,330
부산,329
창업,329
교육,329
나서,327
가맹점,327
정보,327
조사,326
백종,325
개발,322
경기,321
재난,321
동네,320
관계자,319
청년,318
지적,317
피해,316
할인,315
시작,315
민주당,313
공인,309
대구,309
사장님,306
공정,299
임대료,299
평가,296
대출,295
감소,295
부담,294
보이,294
시스,294
재생,294
추가,292
제한,289
영업,288
어려움,288
신청,287
경영,286
벤처,285
대책,285
범수,282
시행,281
활용,279
매장,279
제도,277
상점가,277
회장,277
기준,276
활동,275
서울시,275
전환,273
분야,272
연합,272
이날,272
더불,271
내용,271
노력,270
거래,270
고객,266
중소기업,265
기반,265
방송,265
현장,264
이재명,263
보호,263
투자,262
광주,261
최대,260
발전,259
감사,258
연합회,258
구매,256
효과,254
혜택,253
현재,251
변화,250
기관,249
특화,249
시설,248
확산,248
상품,247
기사,245
회사,245
집중,244
신용,244
도움,244
설명,243
홍보,241
대비,241
행정,239
국내,239
육성,238
마을,237
협력,235
이르,235
안전,234
결과,234
공공,234
포함,234
분석,233
대면,231
새롭,230
증가,230
가지,229
프로그램,229
공동체,228
비판,228
일부,227
업자,227
전망,227
공간,226
부동산,226
높이,225
행복,225
단계,224
대응,222
사업자,221
전화,220
인하,220
회의,219
상가,218
중개사,217
어렵,217
협회,216
공약,216
전하,215
구독,214
기금,213
대선,209
데이터,209
자영업,209
성과,208
침체,205
나가,205
공모,205
조치,205
계열사,204
우수,204
오후,203
배포,203
상반기,203
구성,202
무단,201
주요,201
글로벌,201
중기,200
공동,199
논의,198
확보,197
검토,196
열리,196
호출,196
관광,195
프로젝트,194
입장,194
경쟁,192
이루,191
영세,190
전재,190
모바일,190
투입,188
적용,188
유지,187
카페,186
종합,186
폐업,185
생활,185
국정,185
전체,185
가치,184
지방,183
지속,183
바꾸,183
방침,183
협약,183
장기화,183
복지,183
콘텐츠,182
다하,182
전문,182
기대,181
우려,181
관리,180
해당,179
실시,179
기간,179
신규,179
금액,177
연계,176
브랜드,176
이어지,176
빠르,176
설치,176
특별,175
가운데,175
해결,175
확인,175
주문,174
활력,174
손님,174
강조하,173
극복,173
준비,173
자영,173
큐브,173
자리,173
역할,173
미래,172
역량,172
지자체,172
완화,171
의견,171
사례,171
동백,171
직접,170
소득,170
그러,170
모습,170
인수,170
시대,169
국가,169
일자리,169
민생,168
마케팅,167
국감,166
커지,166
적극,166
업무,165
케이,165
부분,165
고용,164
기본,164
분기,163
진행하,163
이용자,162
희망,162
경쟁력,161
일상,160
모델,159
가맹,158
제작,158
디자인,158
등록,158
시스템,158
테크,158
은행,156
구청장,156
이유,156
창출,156
재정,156
과정,156
자재,156
공개,156
행사,156
자금,155
맞춤,155
메뉴,155
구조,154
음식,153
인근,153
정도,153
자치,152
광산구,151
조정,151
약속,150
장관,150
교수,150
결정,150
배송,150
알리,149
신속,148
계약,148
제외,148
목표,148
